Link,Date Uploaded,Price,Make,Model,Trim,Trim Level,Year,Mileage (km),Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,Date Sold,Engine Size,Horsepower
https://www.donedeal.ie/cars-for-sale/renault-fluence-2011/37455324,2024-09-14,4250,Renault,Fluence,DYNAMIQUE,Medium Trim,2011,211000.0,Diesel,Manual,Saloon,,,,5.0,4,Grey,,,,,,1.5 L,90 hp
https://www.donedeal.ie/cars-for-sale/vw-golf-1-4-sport/37713413,2024-09-14,2500,Volkswagen,Golf,,,2009,263931.0,Petrol,Manual,Hatchback,,,,5.0,5,Red,,,,,,1.4 L,
https://www.donedeal.ie/cars-for-sale/bmw-320d-2012/37861890,2024-09-14,4000,BMW,3-Series,EFFICIENTDYNAMICS,Medium Trim,2012,324356.0,Diesel,Manual,Saloon,,,,5.0,4,Black,,,,,,2.0 L,163 hp
https://www.donedeal.ie/cars-for-sale/seat-leon-2007/37916931,2024-09-14,2100,SEAT,Leon,,,2007,299337.0,Petrol,Manual,Hatchback,,,,3.0,5,Black,,,,,,1.6 L,
https://www.donedeal.ie/cars-for-sale/1-9tdi-nct-11-25-cheap-tax/37916935,2024-09-14,2650,Volkswagen,Golf,,,2008,350000.0,Diesel,---,Hatchback,,,,5.0,---,Silver,,,,,2024-09-26,1.9 L,
https://www.donedeal.ie/cars-for-sale/opel-astra-2013-1-4-petrol/37747015,2024-09-14,4500,Opel,Astra,SRi,Sports Trim,2013,148000.0,Petrol,Manual,Hatchback,,,,5.0,3,Red,,,,,,1.4 L,140 hp
https://www.donedeal.ie/cars-for-sale/fiat-punto-2010/37914633?campaign=3,2024-09-14,1790,Fiat,Punto,,,2010,171000.0,Petrol,Manual,Hatchback,,,,5.0,5,Green,,,,,2024-09-15,1.2 L,
https://www.donedeal.ie/cars-for-sale/citroen-c3-2013-special-edition/37893666?campaign=3,2024-09-14,4500,Citroen,C3,CONNECTED SPECIAL EDITION,Base Trim,2013,143751.0,Petrol,Manual,Hatchback,,,,5.0,5,Grey,,,,,2024-09-22,1.0 L,68 hp
https://www.donedeal.ie/cars-for-sale/2015-skoda-octavia-1-6dsl-ambition/37909427?campaign=3,2024-09-14,5650,Skoda,Octavia,Ambition,Medium Trim,2015,295000.0,Diesel,Manual,Saloon,,,,5.0,5,Black,,,,,,1.6 L,90 hp
https://www.donedeal.ie/cars-for-sale/2008-toyota-yaris-vitz-automatic-1-0/37916922,2024-09-14,3850,Toyota,Vitz,,,2008,216715.0,Petrol,Automatic,Hatchback,,,,5.0,5,Black,,,,,,1.0 L,
