Link,Date Uploaded,Price,Make,Model,Trim,Trim Level,Year,Mileage (km),Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,Date Sold
https://www.donedeal.ie/cars-for-sale/peugeot-207-low-miles-only-98k-miles/33461801,2023-02-28,2950,Peugeot,207,,,2008,157715.0,Petrol,Manual,Hatchback,1.4 litre,,,5,5,Grey,Ireland,3,390,Nov 2023,2023-03-22
https://www.donedeal.ie/cars-for-sale/2010-volkswagen-passat-cc-gt-2-0-tdi-auto/33461743,2023-02-28,5950,Volkswagen,Passat,,,2010,246229.0,Diesel,---,Coupe,2.0 litre,,,4,---,Silver,Ireland,---,570,Oct 2023,2023-03-06
https://www.donedeal.ie/cars-for-sale/audi-a4-2011-2-0-tdi-6speed/31885736,2023-02-28,5750,Audi,A4,---,Base Trim,2011,255309.0,Diesel,Manual,Saloon,2.0 litre,120hp,10.7 sec,5,4,Blue,Ireland,4,270,Nov 2023,2023-03-08
https://www.donedeal.ie/cars-for-sale/12-toyota-avensis-nct-04-24-auto/33418860,2023-02-28,5950,Toyota,Avensis,Luna,Medium Trim,2012,363710.0,Diesel,Automatic,Saloon,2.2 litre,150hp,9.5 sec,5,4,Silver,Ireland,---,---,Apr 2024,
https://www.donedeal.ie/cars-for-sale/14-dacia-sandero-alternative-1-2-petrol-finance/33434467,2023-02-28,6999,Dacia,Sandero,ALTERNATIVE,Base Trim,2014,68000.0,Petrol,Manual,Hatchback,1.1 litre,75hp,14.5 sec,5,4,White,Ireland,1,280,Feb 2025,2023-03-10
https://www.donedeal.ie/cars-for-sale/2010-ford-mondeo-titanium-2-0-tdci/33461782,2023-02-28,4450,Ford,Mondeo,,,2010,218000.0,Diesel,Automatic,Saloon,2.0 litre,,,5,4,Gold,Ireland,5,390,Nov 2023,2023-03-07
https://www.donedeal.ie/cars-for-sale/seat-leon/33461772,2023-02-28,800,SEAT,Leon,,,2004,207307.0,Petrol,Manual,Hatchback,1.4 litre,,,5,5,Blue,Ireland,3,385,Mar 2023,
https://www.donedeal.ie/cars-for-sale/renault-megane-2012/31006680,2023-02-28,6450,Renault,Megane,EXPRESSION,Base Trim,2012,165000.0,Diesel,Manual,Coupe,1.5 litre,90hp,12.5 sec,5,2,Grey,Ireland,2,190,Aug 2022,2023-03-29
https://www.donedeal.ie/cars-for-sale/2011-mitsubishi-asx-intense-1-8-di-d-low-kms/33461770,2023-02-28,6995,Mitsubishi,ASX,Intense,Base Trim,2011,95847.0,Diesel,Manual,SUV,1.8 litre,150hp,9.7 sec,5,5,Black,Ireland,1,390,May 2023,2023-03-05
https://www.donedeal.ie/cars-for-sale/volkswagen-golf-1-6-tdi-red-i-low-milage/33265947,2023-02-28,5950,Volkswagen,Golf Plus,,,2009,162543.0,Diesel,Unknown,MPV,1.6 litre,,,5,5,Black,Ireland,1,200,Nov 2022,
https://www.donedeal.ie/cars-for-sale/hyundai-ix35-2011/33461726,2023-02-28,6750,Hyundai,ix35,Executive,Medium Trim,2011,147737.0,Diesel,Manual,SUV,1.7 litre,115hp,12.4 sec,5,5,Silver,Ireland,1,280,Jul 2023,2023-03-08
https://www.donedeal.ie/cars-for-sale/kia-ceed-hatchback-2007/33404105,2023-02-28,2350,Kia,Ceed,,,2007,244351.0,Petrol,Manual,Hatchback,1.4 litre,,,5,5,Silver,Ireland,6,385,Oct 2023,2023-03-05
https://www.donedeal.ie/cars-for-sale/hyundai-ix20-2012/33042716,2023-02-28,5800,Hyundai,ix20,---,Base Trim,2012,134900.0,Diesel,Manual,MPV,1.4 litre,90hp,14.5 sec,5,5,Grey,Ireland,2,200,Aug 2023,2023-03-12
https://www.donedeal.ie/cars-for-sale/audi-a3-1-9-swap-saab-volvo/33461711,2023-02-28,1250,Audi,A3,,,2003,360492.0,Diesel,Unknown,Hatchback,1.9 litre,,,5,---,Blue,Ireland,---,---,Jan 2023,2023-03-01
https://www.donedeal.ie/cars-for-sale/2011-vauxhall-insignia-exclusive-2-0-cdti/33355210,2023-02-28,4250,Vauxhall,Insignia,---,---,2011,215651.0,Diesel,---,Hatchback,2.0 litre,---,---,5,---,Black,Ireland,2,280,Feb 2024,2023-03-22
https://www.donedeal.ie/cars-for-sale/lexus-is200-gearbox/33461675,2023-02-28,450,Other,Other,---,---,2018,,Diesel,Unknown,Pick Up,2.3 litre,---,---,3,---,White,Ireland,1,---,---,2023-03-28
https://www.donedeal.ie/cars-for-sale/2013-opel-astra-1-7-diesel/33461670,2023-02-28,4950,Opel,Astra,SC,Medium Trim,2013,124000.0,Diesel,Manual,Saloon,1.7 litre,110hp,12.4 sec,5,4,Black,Ireland,1,200,Jul 2023,2023-03-12
https://www.donedeal.ie/cars-for-sale/ford-focus-c-max-2004/33461661,2023-02-28,700,Ford,Focus C-MAX,,,2004,,Petrol,Manual,Hatchback,1.6 litre,,,5,5,Red,Ireland,5,514,Feb 2022,2023-03-13
https://www.donedeal.ie/cars-for-sale/renault-fluence-2011/33306338,2023-02-28,3250,Renault,Fluence,DYNAMIQUE,Medium Trim,2011,270020.0,Diesel,Manual,Saloon,1.5 litre,90hp,13.0 sec,5,4,Black,Ireland,1,200,Mar 2024,2023-03-04
https://www.donedeal.ie/cars-for-sale/volvo-s40-1-8-delivery-warranty-serviced-new-nct/33461630,2023-02-28,2950,Volvo,S40,,,2008,250330.0,Ethanol Petrol,Manual,Saloon,1.8 litre,,,5,4,Black,Ireland,4,---,Jul 2021,
https://www.donedeal.ie/cars-for-sale/toyota-yaris-1-0-new-nct-12-05-24/33461608,2023-02-28,3850,Toyota,Yaris,,,2009,219277.0,Petrol,Manual,Hatchback,1.0 litre,,,5,5,Silver,Ireland,2,270,May 2024,2023-03-13
https://www.donedeal.ie/cars-for-sale/volkswagen-golf-2010/33461565,2023-02-28,5250,Volkswagen,Golf,,,2010,280025.0,Diesel,Unknown,Hatchback,1.6 litre,,,5,5,Black,Ireland,1,190,Dec 2022,2023-03-01
https://www.donedeal.ie/cars-for-sale/toyota-iq-1-0-petrol-2012-6-24-nct/33415334,2023-02-28,6950,Toyota,IQ,Strata,Base Trim,2012,60939.0,Petrol,Manual,Hatchback,1.0 litre,68hp,14.7 sec,4,3,White,UK,2,180,Jun 2024,
https://www.donedeal.ie/cars-for-sale/volvo-c30-1-6-d-es-6-spd-3dr-new-02-2024-nct/33234921,2023-02-28,5950,Volvo,C30,ES,Base Trim,2011,197559.0,Diesel,Manual,Hatchback,1.6 litre,115hp,11.3 sec,4,3,Silver,Ireland,2,200,May 2023,
https://www.donedeal.ie/cars-for-sale/saab-95-vector-2011-auto-dsl-5950/33441692,2023-02-28,5950,Saab,9-5,VECTOR,Medium Trim,2011,221000.0,Diesel,Automatic,Saloon,2.0 litre,160hp,10.1 sec,5,4,Silver,Ireland,1,750,Mar 2024,2023-03-03
https://www.donedeal.ie/cars-for-sale/hyundai-i10-1-2-classic-nct-2025-and-low-mileage/33434888,2023-02-28,5850,Hyundai,i10,Deluxe,Base Trim,2012,73707.0,Petrol,Manual,Hatchback,1.2 litre,85hp,13.8 sec,5,5,Silver,Ireland,1,190,Jan 2025,2023-03-06
https://www.donedeal.ie/cars-for-sale/citroen-c3-2014/33461538,2023-02-28,5000,Citroen,C3,VT,Base Trim,2014,168000.0,Petrol,Manual,Hatchback,1.0 litre,68hp,14.2 sec,5,5,White,Ireland,1,190,Nov 2024,2023-03-29
https://www.donedeal.ie/cars-for-sale/2000-mazda-mx-5/33461545,2023-02-28,3500,Mazda,MX-5,,,2000,175.0,Petrol,Manual,Convertible,1.6 litre,,,2,2,Blue,Ireland,2,514,May 2023,2023-03-01
https://www.donedeal.ie/cars-for-sale/vauxhall-corsa-2008/33461518,2023-02-28,2900,Vauxhall,Corsa,,,2008,307383.0,Diesel,Manual,Hatchback,1.2 litre,,,5,5,Silver,Ireland,2,200,Mar 2024,
https://www.donedeal.ie/cars-for-sale/kia-rio-1-4/33461496,2023-02-28,1500,Kia,RIO,,,2008,252023.0,Petrol,Manual,Hatchback,1.4 litre,,,5,5,Silver,Ireland,4,280,Sep 2023,2023-03-01
